Friction Angle Average  (?avg),Nc1,Nq1,Ny1
0,5.14,1,0
1,5.38,1.09,0.07
2,5.63,1.2,0.15
3,5.9,1.31,0.24
4,6.19,1.43,0.34
5,6.49,1.57,0.45
6,6.81,1.72,0.57
7,7.16,1.88,0.71
8,7.53,2.06,0.86
9,7.92,2.25,1.03
10,8.35,2.47,1.22
11,8.8,2.71,1.44
12,9.28,2.97,1.69
13,9.81,3.26,1.97
14,10.37,3.59,2.29
15,10.98,3.94,2.65
16,11.63,4.34,3.06
17,12.34,4.77,3.53
18,13.1,5.26,4.07
19,13.93,5.8,4.68
20,14.83,6.4,5.39
21,15.82,7.07,6.2
22,16.88,7.82,7.13
23,18.05,8.66,8.2
24,19.32,9.6,9.44
25,20.72,10.66,10.88
26,22.25,11.85,12.54
27,23.94,13.2,14.47
28,25.8,14.72,16.72
29,27.86,16.44,19.34
30,30.14,18.4,22.4
31,32.67,20.63,25.99
32,35.49,23.18,30.22
33,38.64,26.09,35.19
34,42.16,29.44,41.06
35,46.12,33.3,48.03
36,50.59,37.75,56.31
37,55.63,42.92,66.19
38,61.35,48.93,78.03
39,67.87,55.96,92.25
40,75.31,64.2,109.41
41,83.86,73.9,130.22
42,93.71,85.38,155.55
43,105.11,99.02,186.54
44,118.37,115.31,224.64
45,133.88,134.88,271.76
46,152.1,158.51,330.35
47,173.64,187.21,403.67
48,199.26,222.31,496.01
49,229.93,265.51,613.16
50,266.89,319.07,762.89
