Northing (Latitude),Easting (Longitude),Borehole No,Sample No,Depth,N Value,USCS Classiication,Cohesion (KPa),Unit Weight,Report No
33.719964500000003,73.211431500000003,1,S-1,5,50,SANDSTONE,45,18,1
33.719964500000003,73.211431500000003,2,S-1,5,50,SILTY CLAY,45,18,1
33.743057899999997,73.248064400000004,1,S-1,5,50,SHALE,45,18,2
33.743057899999997,73.248064400000004,1,S-2,10,50,SANDSTONE,50,18,2
33.743057899999997,73.248064400000004,2,S-1,5,50,SHALE,45,18,2
33.743057899999997,73.248064400000004,3,S-1,5,50,SHALE,45,18,2
33.743057899999997,73.248064400000004,3,S-2,10,50,SANDSTONE,50,18,2
33.713904999999997,73.219176000000004,1,S-1,5,6,SILTY CLAY,17,16,3
33.713904999999997,73.219176000000004,1,S-2,10,9,SILTY CLAY,33,16,3
33.713904999999997,73.219176000000004,1,S-3,15,26,SANDY SILTY CLAY,49,18,3
33.713904999999997,73.219176000000004,2,S-1,5,7,SILTY CLAY,17,16,3
33.713904999999997,73.219176000000004,2,S-2,10,18,SANDY SILTY CLAY,33,18,3
33.713904999999997,73.219176000000004,2,S-3,15,22,SANDY SILTY CLAY,49,18,3
33.726868000000003,73.216496000000006,1,S-1,5,7,SILTY CLAY,13,16,4
33.726868000000003,73.216496000000006,1,S-2,10,8,SILTY CLAY,20,16,4
33.726868000000003,73.216496000000006,2,S-1,5,6,SILTY CLAY,13,16,4
33.726868000000003,73.216496000000006,3,S-1,5,8,SILTY CLAY,13,16,4
33.726868000000003,73.216496000000006,1,S-1,5,10,SILTY CLAY,17,16,5
33.726868000000003,73.216496000000006,2,S-1,5,7,SILTY CLAY,17,16,5
33.726868000000003,73.216496000000006,2,S-2,10,8,SILTY CLAY,20,16,5
33.726868000000003,73.216496000000006,2,S-3,15,10,SILTY CLAY,25,16,5
33.726868000000003,73.216496000000006,2,S-4,20,13,SILTY CLAY,33,16,5
33.726868000000003,73.216496000000006,2,S-5,25,15,SILTY CLAY,37,16,5
33.711436399999997,73.191756100000006,1,S-1,5,50,SANDY SILTY CLAY,48,16,7
33.711436399999997,73.191756100000006,2,S-1,5,50,SANDY SILTY CLAY,48,16,7
33.711436399999997,73.191756100000006,3,S-1,5,50,SANDY SILTY CLAY,48,16,7
33.716806300000002,73.231911699999998,1,S-1,5,29,SANDY SILTY CLAY,37,18,9
33.716806300000002,73.231911699999998,1,S-2,10,34,SANDY SILTY CLAY,45,18,9
33.716806300000002,73.231911699999998,2,S-1,5,26,SANDY SILTY CLAY,37,18,9
33.716806300000002,73.231911699999998,2,S-2,10,35,SANDY SILTY CLAY,45,18,9
33.711514200000003,73.232989700000005,1,S-1,5,18,SILTY CLAY,41,18,10
33.711514200000003,73.232989700000005,1,S-2,10,26,SILTY CLAY,46,18,10
33.711514200000003,73.232989700000005,2,S-1,5,16,SILTY CLAY,41,18,10
33.711514200000003,73.232989700000005,2,S-2,10,26,SILTY CLAY,46,18,10
33.715451000000002,73.222734000000003,1,S-1,5,7,SILTY CLAY,17,16,11
33.715451000000002,73.222734000000003,1,S-2,10,8,SILTY CLAY,20,16,11
33.715451000000002,73.222734000000003,2,S-1,5,8,SILTY CLAY,17,16,11
33.678589500000001,73.167107599999994,1,S-1,5,9,SILTY CLAY,17,16,12
33.678589500000001,73.167107599999994,1,S-2,10,11,SILTY CLAY,20,16,12
33.678589500000001,73.167107599999994,1,S-3,15,14,SILTY CLAY,33,18,12
33.678589500000001,73.167107599999994,1,S-4,20,18,SILTY CLAY,49,18,12
33.678589500000001,73.167107599999994,2,S-1,5,10,SILTY CLAY,17,16,12
33.678589500000001,73.167107599999994,2,S-2,10,11,SILTY CLAY,20,16,12
33.678589500000001,73.167107599999994,2,S-3,15,16,SILTY CLAY,33,18,12
33.678589500000001,73.167107599999994,2,S-4,20,20,SILTY CLAY,49,18,12
33.678589500000001,73.167107599999994,3,S-1,5,8,SILTY CLAY,17,16,12
33.678589500000001,73.167107599999994,3,S-2,10,9,SILTY CLAY,20,16,12
33.678589500000001,73.167107599999994,3,S-3,15,15,SILTY CLAY,33,18,12
33.678589500000001,73.167107599999994,3,S-4,20,18,SILTY CLAY,49,18,12
33.685034399999999,73.164668000000006,1,S-1,5,9,SILTY CLAY,22,18,13
33.685034399999999,73.164668000000006,1,S-2,10,9,SILTY CLAY,27,18,13
33.685034399999999,73.164668000000006,1,S-3,15,10,SILTY CLAY,34,18,13
33.685034399999999,73.164668000000006,2,S-1,5,8,SILTY CLAY,22,18,13
33.685034399999999,73.164668000000006,2,S-2,10,10,SILTY CLAY,27,18,13
33.685034399999999,73.164668000000006,2,S-3,15,11,SILTY CLAY,34,18,13
33.694046299999997,73.188823499999998,1,S-1,5,8,SILTY CLAY,15,16,14
33.694046299999997,73.188823499999998,1,S-2,10,9,SILTY CLAY,17,16,14
33.694046299999997,73.188823499999998,1,S-3,15,14,SILTY CLAY,27,16,14
33.694046299999997,73.188823499999998,1,S-4,20,26,SILTY CLAY,40,18,14
33.694046299999997,73.188823499999998,2,S-1,5,6,SILTY CLAY,15,16,14
33.694046299999997,73.188823499999998,2,S-2,10,9,SILTY CLAY,17,16,14
33.694046299999997,73.188823499999998,2,S-3,15,14,SILTY CLAY,27,16,14
33.694046299999997,73.188823499999998,2,S-4,20,25,SILTY CLAY,40,18,14
33.694046299999997,73.188823499999998,3,S-1,5,7,SILTY CLAY,15,16,14
33.694046299999997,73.188823499999998,3,S-2,10,10,SILTY CLAY,17,16,14
33.701245,73.201357999999999,1,S-1,5,7,SILTY CLAY,15,16,15
33.701245,73.201357999999999,1,S-2,10,10,SILTY CLAY,25,16,15
33.701245,73.201357999999999,1,S-3,15,19,SILTY CLAY,33,16,15
33.701245,73.201357999999999,1,S-4,20,50,SANDY SILTY CLAY,42,18,15
33.701245,73.201357999999999,2,S-1,5,6,SILTY CLAY,15,16,15
33.722557999999999,73.232645099999999,1,S-1,5,8,SILTY CLAY,17,16,16
33.722557999999999,73.232645099999999,1,S-2,10,50,SILTY CLAY,25,16,16
33.722557999999999,73.232645099999999,2,S-1,5,10,SILTY CLAY,17,16,16
33.722557999999999,73.232645099999999,2,S-2,10,23,SILTY CLAY,25,16,16
33.722557999999999,73.232645099999999,2,S-3,15,50,SILTY CLAY,30,16,16
33.711995000000002,73.212201699999994,1,S-1,5,10,SILTY CLAY,20,16,17
33.711995000000002,73.212201699999994,1,S-2,10,17,SILTY CLAY,25,16,17
